ID,airport_name,type,country,lat,long,elevation,service
AAD,Adado Airport,small_airport,SO,6.095802,46.6375,1001.0,no
BI-0002,Mwumba Airport,small_airport,BI,-2.879447,29.832178,,no
BMQ,Bamburi Airport,small_airport,KE,-3.98138,39.73112,52.0,no
DJ-0001,Holhol Airport,small_airport,DJ,11.30608,42.91968,,no
DJ-0002,Djibouti Hassan Gouled International Airport,closed,DJ,11.54796,43.12446,108.0,no
DJ-0003,Chinese People's Liberation Army Support Base in Djibouti,heliport,DJ,11.590843,43.063415,39.0,no
DJ-0004,Djibouti Presidential Heliport,heliport,DJ,11.59668,43.14119,1.0,no
DJ-0005,Djibouti Sudanese Military Hospital Heliport,heliport,DJ,11.57195,43.13258,13.0,no
DJ-0006,Helipad,heliport,DJ,11.589279,43.059347,,no
DJ-0007,Military Helipads (5x),heliport,DJ,11.54554,43.15745,,no
DJ-0008,Military Helipad,heliport,DJ,11.554781,43.156668,,no
ET-0002,Kibbish Wells Airport,small_airport,ET,5.296,35.8682,1403.0,no
ET-0003,Ganada Airport,small_airport,ET,5.337166,37.022991,,no
ET-0005,African Union Heliport,heliport,ET,8.999475,38.742503,,no
ET-0006,Bameza - Grand Ethiopian Renaissance Dam Airport,small_airport,ET,11.1269,35.04396,2047.0,no
ET-0007,Dolo Airport,small_airport,ET,4.17489,42.03296,630.0,no
ET-0010,Combolcha Airport,closed,ET,11.0825,39.711399,6117.0,no
ET-0011,Masslo Airport,closed,ET,6.408491,39.722443,4180.0,no
ET-0013,Degah Bur Airport,closed,ET,8.234,43.5673,3550.0,no
ET-0014,Buno Bedelle Airport,closed,ET,8.447604,36.341035,6560.0,no
ET-0015,Bulchi Airport,closed,ET,6.288333,36.886667,4500.0,no
ET-0016,Bishoftu International Airport(Under Construction),closed,ET,8.697235,38.798834,,no
ET-0017,Almata Airstrip,closed,ET,12.344751,39.585015,5000.0,no
ET-0018,Mekele Airstrip,closed,ET,13.516469,39.464106,6600.0,no
ET-GLC,Geladi Airport,small_airport,ET,6.984439849849999,46.4213981628,1383.0,no
GBM,Garbaharey Airport,small_airport,SO,3.32294,42.21309,755.0,no
HAAB,Addis Ababa Bole International Airport,large_airport,ET,8.97789,38.799301,7630.0,yes
HAAD,Adaba Airport,small_airport,ET,7.022953,39.273162,7896.0,no
HAAL,Lideta Army Airport,small_airport,ET,9.003685,38.725498,7749.0,no
HAAM,Arba Minch Airport,medium_airport,ET,6.03939,37.5905,3901.0,yes
HAAX,Axum Airport,medium_airport,ET,14.1468,38.7728,6959.0,yes
HABC,Baco Airport,small_airport,ET,5.783333,36.55,4300.0,no
HABD,Bahir Dar Airport,medium_airport,ET,11.6081,37.321602,5978.0,yes
HABE,Beica Airport,small_airport,ET,9.38639,34.5219,5410.0,no
HADC,Kombolcha Airport,small_airport,ET,11.10975,39.725911,6120.0,yes
HADD,Dembidollo Airport,small_airport,ET,8.554,34.858002,5200.0,yes
HADM,Debre Markos Airport,small_airport,ET,10.321501,37.741887,8136.0,no
HADO,Dodola Airport,small_airport,ET,7.02056,39.051102,8234.0,no
HADR,Aba Tenna Dejazmach Yilma International Airport,large_airport,ET,9.623549,41.855027,3827.0,yes
HADT,Debre Tabor Airport,small_airport,ET,11.884808,38.009241,8490.0,no
HAFN,Fincha Airport,small_airport,ET,9.584387,37.377855,7600.0,no
HAGH,Ghinnir Airport,small_airport,ET,7.15000009537,40.716999054,6499.0,no
HAGM,Gambela Airport,medium_airport,ET,8.12876,34.563099,1614.0,yes
HAGN,Gondar Airport,medium_airport,ET,12.5199,37.433998,6449.0,yes
HAGO,Gode Airport,medium_airport,ET,5.93513011932,43.5786018372,834.0,yes
HAGR,Gore Airport,small_airport,ET,8.1614,35.5529,6580.0,no
HAHM,Harar Meda Airport,medium_airport,ET,8.7163,39.0059,6201.0,no
HAHU,Humera Airport,small_airport,ET,13.83012,36.88237,1930.0,no
HAJJ,Gerad Wilwal International Airport,large_airport,ET,9.331907,42.911811,5954.0,yes
HAJK,Jinka Airport,medium_airport,ET,5.749655,36.560165,4475.0,yes
HAJM,Jimma Airport,medium_airport,ET,7.66609001159668,36.81660079956055,5500.0,yes
HAKD,Kebri Dahar Airport,medium_airport,ET,6.732577,44.241339,1800.0,yes
HAKL,Kelafo East Airport,small_airport,ET,5.6570000648498535,44.34999847412109,1730.0,no
HALA,Hawassa International Airport,large_airport,ET,7.100611,38.396455,5450.0,yes
HALL,Lalibela Airport,small_airport,ET,11.975225,38.980198,6506.0,no
HAMA,Mekane Selam Airport,small_airport,ET,10.7254,38.7415,8405.0,no
HAMK,Mekele Alula Aba Nega Airport,medium_airport,ET,13.4674,39.533501,7396.0,yes
HAMM,Metema Airport,small_airport,ET,12.932999610899998,36.1669998169,2650.0,no
HAMN,Mendi Airport,small_airport,ET,9.767,35.099998,5500.0,no
HAMR,Mui River Airport,small_airport,ET,5.8646,35.7485,1834.0,no
HAMT,Mizan Teferi Airport,small_airport,ET,6.9571,35.5547,4396.0,yes
HAPW,Beles Airport,small_airport,ET,11.3126,36.4164,3695.0,no
HASO,Asosa Airport,medium_airport,ET,10.018500328063965,34.586299896240234,5100.0,yes
HBBA,Bujumbura Melchior Ndadaye International Airport,large_airport,BI,-3.32402,29.318501,2582.0,yes
HBBE,Gitega Airport,medium_airport,BI,-3.417209,29.911308,5741.0,yes
HBBK,Gihohi Airport,small_airport,BI,-4.0342,30.1318,4065.0,no
HBBO,Kirundo Airport,small_airport,BI,-2.544772,30.094575,4511.0,yes
HCDM,Dusomareb Airport,small_airport,SO,5.472,46.359833,840.0,no
HCMA,Alula Airport,small_airport,SO,11.9582,50.748,6.0,no
HCMB,Baidoa Airport,small_airport,SO,3.10192,43.627137,1820.0,no
HCMC,Candala Airport,small_airport,SO,11.495627,49.909816,30.0,no
HCMD,Baardheere Airport,small_airport,SO,2.330195,42.311802,396.0,no
HCME,Eil Airport,small_airport,SO,8.104,49.82,879.0,no
HCMF,Bender Qassim International Airport,large_airport,SO,11.275235,49.139231,3.0,yes
HCMG,Gardo Airport,small_airport,SO,9.545975,49.119148,2632.0,no
HCMH,Egal International Airport,large_airport,SO,9.514082,44.083469,4471.0,yes
HCMI,Berbera Airport,medium_airport,SO,10.385035,44.936723,30.0,yes
HCMJ,Lugh Ganane Airport,small_airport,SO,3.8124,42.5459,507.0,no
HCMK,Kismayo Airport,medium_airport,SO,-0.377353,42.459202,49.0,no
HCMM,Aden Adde International Airport,large_airport,SO,2.01444,45.304699,29.0,yes
HCMN,Beledweyne Airport,small_airport,SO,4.766976,45.2388,559.0,yes
HCMO,Hobyo Airport,small_airport,SO,5.358003,48.515281,65.0,no
